"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ImpL2",1.02654018839546e-06,-0.960343607037915,0.137,0.156,0.0128697343419139
"htt",1.05335214208416e-06,0.291684746814948,0.136,0.115,0.0132058758053091
"Chd1",1.14310387348559e-06,0.268991170817032,0.132,0.111,0.0143310932618888
"CG1316",1.18226076855026e-06,0.379847772535308,0.105,0.087,0.0148220032553147
"CG43349",1.21946392011225e-06,-0.334092759954869,0.082,0.1,0.0152884191664473
"Kank",1.26433666577777e-06,0.51015889380124,0.112,0.092,0.0158509887788559
"CCT3",1.28587022538378e-06,-0.320183361716118,0.085,0.104,0.0161209550156365
"Myc",1.34557044741128e-06,0.32431622628204,0.375,0.362,0.0168694166991952
"lncRNA:Hsromega",1.35940633513265e-06,0.395540077562934,0.976,0.985,0.0170428772235581
"beta-Spec",1.37036401795105e-06,0.345028362962853,0.142,0.122,0.0171802536930524
"His3.3A",1.69703418376399e-06,0.288937743599683,0.101,0.082,0.0212757175618492
"Hmt4-20",1.7241605421469e-06,0.293434520587131,0.241,0.218,0.0216158007168957
"E23",1.73838392028259e-06,-0.277318568262919,0.144,0.165,0.0217941192085829
"pod1",2.14898528008556e-06,0.335408919224569,0.111,0.092,0.0269418284564327
"path",2.50954283185343e-06,-0.27965271753344,0.278,0.306,0.0314621384829465
"sra",2.53216843347945e-06,-0.278423098234511,0.119,0.14,0.0317457956505318
"Pgant5",2.75941758241638e-06,0.356256445086567,0.196,0.175,0.0345948182307542
"CG13784",2.78278678453277e-06,-0.265531856923723,0.224,0.248,0.0348877979176873
"Maf1",2.96120348421132e-06,0.254234525606872,0.308,0.287,0.0371246080815574
"p23",3.05252180956878e-06,-0.2675129868608,0.168,0.19,0.0382694659265638
"Cbl",3.11068873438145e-06,0.368889239051841,0.126,0.107,0.0389987046629402
"Dhit",3.86072041107489e-06,0.254894062098081,0.194,0.171,0.0484018517936459
"RtGEF",4.04074740096577e-06,0.429205233240163,0.179,0.16,0.0506588501659079
"Su(var)2-HP2",5.39417879830846e-06,0.261925988061235,0.151,0.131,0.0676268195943932
"Ubc6",5.5968926803636e-06,0.329044770765111,0.196,0.175,0.0701682435337184
"Cul1",5.68698947302913e-06,0.431990081083787,0.142,0.124,0.0712977870233662
"Ziz",5.69824310195024e-06,0.295088086998574,0.109,0.091,0.0714388737691501
"CG14669",7.12681083025356e-06,0.487613763910228,0.113,0.096,0.0893488273788888
